FILENAME,MARKER,POPULATION ,ASSAY_TMP_C,MASS_g,VO2_uL_hr_1,VO2_uL_hr_2,VO2_uL_hr_3
5-16-2018_15C_3rd_MORN_RepRec_0001_m.exp,A,MA2,15,0.0629,45.877,34.1225,25.6025
5-16-2018_15C_3rd_MORN_RepRec_0001_m.exp,B,MA2,15,0.0541,43.1698,29.3139,23.8628
5-16-2018_15C_3rd_MORN_RepRec_0001_m.exp,C,MA2,15,0.0538,45.9419,27.7175,22.9164
5-16-2018_15C_3rd_MORN_RepRec_0001_m.exp,D,MA2,15,0.0541,44.6075,26.0651,18.7227
5-16-2018_15C_3rd_MORN_RepRec_0001_m.exp,E,MA1,15,0.0601,44.3409,27.442,15.5126
5-16-2018_15C_3rd_MORN_RepRec_0001_m.exp,F,MA1,15,0.0324,37.8609,20.9751,9.5162
5-16-2018_15C_3rd_MORN_RepRec_0001_m.exp,G,MA1,15,0.0318,35.8955,26.1671,10.6282
5-16-2018_15C_3rd_MORN_RepRec_0001_m.exp,H,MA1,15,0.0327,49.7359,32.5166,11.4196
5-16-2018_15C_3rd_MORN_RepRec_0001_m.exp,I,MA1,15,0.0436,36.7326,25.0333,9.3732
5-16-2018_15C_3rd_MORN_RepRec_0001_m.exp,J,MA1,15,0.0433,35.3661,25.7603,11.2209
5-16-2018_15C_3rd_MORN_RepRec_0001_m.exp,K,MA1,15,0.0355,30.491,24.0919,10.8078
5-16-2018_15C_3rd_MORN_RepRec_0001_m.exp,L,MA1,15,0.0535,36.1693,28.9084,16.9058
5-16-2018_15C_3rd_MORN_RepRec_0001_m.exp,M,MA1,15,0.0422,31.3881,23.9164,11.165
5-17-2018_15C_3rd_MORN_RepRec_0001_m.exp,A,MA2,15,0.0475,11.6886,28.1852,13.8717
5-17-2018_15C_3rd_MORN_RepRec_0001_m.exp,B,MA2,15,0.0595,21.6214,33.2281,13.3321
5-17-2018_15C_3rd_MORN_RepRec_0001_m.exp,C,MA2,15,0.0502,21.1253,,36.6625
5-17-2018_15C_3rd_MORN_RepRec_0001_m.exp,D,MA2,15,0.047,21.8033,25.9707,9.9184
5-17-2018_15C_3rd_MORN_RepRec_0001_m.exp,E,MA2,15,0.031,23.4036,18.9011,10.7833
5-17-2018_15C_3rd_MORN_RepRec_0001_m.exp,F,MA2,15,0.0621,38.3827,33.4891,12.083
5-17-2018_15C_3rd_MORN_RepRec_0001_m.exp,G,MA1,15,0.0494,34.0436,26.8078,
5-17-2018_15C_3rd_MORN_RepRec_0001_m.exp,H,MA1,15,0.0521,48.2998,27.0178,8.9351
5-17-2018_15C_3rd_MORN_RepRec_0001_m.exp,I,MA1,15,0.0508,20.0375,21.7963,6.8
5-17-2018_25C_3rd_AFTER_RepRec_0001_m.exp,A,MA1,25,0.0542,37.5825,38.3254,32.2038
5-17-2018_25C_3rd_AFTER_RepRec_0001_m.exp,B,MA1,25,0.0598,40.5197,49.8478,41.3829
5-17-2018_25C_3rd_AFTER_RepRec_0001_m.exp,C,MA1,25,0.0387,29.9681,33.9651,24.8618
5-17-2018_25C_3rd_AFTER_RepRec_0001_m.exp,D,MA1,25,0.056,48.9367,43.5364,30.423
5-17-2018_25C_3rd_AFTER_RepRec_0001_m.exp,E,MA1,25,0.0421,45.3606,53.4756,35.243
5-17-2018_25C_3rd_AFTER_RepRec_0001_m.exp,F,MA1,25,0.0395,42.1227,35.1386,22.7787
5-17-2018_25C_3rd_AFTER_RepRec_0001_m.exp,G,MA1,25,0.0293,34.372,29.8016,18.0582
5-17-2018_25C_3rd_AFTER_RepRec_0001_m.exp,H,MA2,25,0.0586,58.6909,63.8781,39.1078
5-17-2018_25C_3rd_AFTER_RepRec_0001_m.exp,I,MA2,25,0.0542,43.6363,34.7167,24.1733
5-17-2018_25C_3rd_AFTER_RepRec_0001_m.exp,J,MA2,25,0.0464,40.9361,29.0007,21.6596
5-17-2018_25C_3rd_AFTER_RepRec_0001_m.exp,L,MA2,25,0.0556,54.2164,37.5508,28.5088
5-17-2018_25C_3rd_AFTER_RepRec_0001_m.exp,M,MA2,25,0.0554,33.1287,30.1706,21.5215
5-18-2018_30C_3rd_MORN_RepRec_0001_m.exp,A,MA2,30,0.0658,78.778,68.9917,66.3625
5-18-2018_30C_3rd_MORN_RepRec_0001_m.exp,B,MA2,30,0.0504,65.7576,64.2024,42.0472
5-18-2018_30C_3rd_MORN_RepRec_0001_m.exp,C,MA2,30,0.0442,67.4171,58.3169,57.114
5-18-2018_30C_3rd_MORN_RepRec_0001_m.exp,D,MA2,30,0.0538,82.0057,65.7743,48.4189
5-18-2018_30C_3rd_MORN_RepRec_0001_m.exp,E,MA2,30,0.056,80.7258,75.4044,49.1932
5-18-2018_30C_3rd_MORN_RepRec_0001_m.exp,G,MA1,30,0.0735,110.4631,83.6212,56.7514
5-18-2018_30C_3rd_MORN_RepRec_0001_m.exp,H,MA1,30,0.0428,84.6123,69.3443,40.7497
5-18-2018_30C_3rd_MORN_RepRec_0001_m.exp,I,MA1,30,0.0312,52.6444,37.1368,29.9498
5-18-2018_30C_3rd_MORN_RepRec_0001_m.exp,J,MA1,30,0.054,114.3212,74.7147,63.2998
5-18-2018_30C_3rd_MORN_RepRec_0001_m.exp,K,MA1,30,0.0483,54.0675,39.7444,35.781
5-18-2018_30C_3rd_MORN_RepRec_0001_m.exp,L,MA1,30,0.0402,48.4047,26.5791,24.7725
5-18-2018_30C_3rd_MORN_RepRec_0001_m.exp,M,MA1,30,0.0302,44.4399,27.0587,25.8407
5-18-2018_30C_3rd_MORN_RepRec_0001_m.exp,N,MA1,30,0.0486,62.4152,44.7883,39.5251
5-19-2018_30C_3rd_MORN_RepRec_0001_m.exp,A,NY,30,0.0393,55.1559,60.4723,45.4975
5-19-2018_30C_3rd_MORN_RepRec_0001_m.exp,B,NY,30,0.0367,58.9832,56.3275,37.6568
5-19-2018_30C_3rd_MORN_RepRec_0001_m.exp,C,NY,30,0.0345,63.0589,58.8493,37.2498
5-19-2018_30C_3rd_MORN_RepRec_0001_m.exp,D,NY,30,0.0395,66.8986,48.7286,37.7056
